word,meaning,phonetic,example,example_cn
see a film,看电影,,Let us go to see a film this weekend.,我们这个周末去看电影吧。
see you later,再见,/si:ju:'leitə/,"See you later, have a nice day!",再见，祝你有美好的一天！
seed,种子,/si:d/,The farmer planted a seed in the ground.,农夫把种子种在地里。
see—saw,看见,/si:/,I saw a rainbow yesterday after the rain.,昨天雨后我看见了一道彩虹。
send,邮寄；发送,/send/,I will send you a postcard from my trip.,我旅行时会给你寄一张明信片。
September,九月,/səp'tembə/,School starts in September.,学校在九月开学。
set the table,摆餐具；摆饭桌,/setði:'teibl/,Can you help me set the table for dinner?,你能帮我摆好餐桌准备吃饭吗？
seven,七,/'sevn/,There are seven days in a week.,一周有七天。
seventeen,十七,/sevən'tiːn/,She is seventeen years old and in high school.,她十七岁，在读高中。
seventh,\(7th\) 第七,,He sits in the seventh row in the classroom.,他坐在教室的第七排。
seventy,七十,/'sevənti/,My grandfather is seventy years old.,我爷爷七十岁了。
several,一些（但不多）;几个,/'sevərəl/,I have several books about animals at home.,我家里有好几本关于动物的书。
shadow,阴影，影子,,The tree cast a long shadow on the grass.,树在草地上投下了长长的影子。
shall,表示征求意见,/ʃæl/,Shall we go for a walk in the park?,我们去公园散散步好吗？
share,分享,/ʃeə/,Please share your snacks with your sister.,请和你妹妹分享你的零食。
shark,鲨鱼,/ʃɑ:k/,A shark is a very large fish that lives in the sea.,鲨鱼是一种生活在海里非常大的鱼。
sharpener,卷笔刀,/'ʃɑ:pənə/,I need a sharpener for my pencil.,我需要一个卷笔刀来削铅笔。
she,她,/ʃiː/,She is my best friend at school.,她是我在学校最好的朋友。
sheep,绵羊,/ʃiːp/,The farmer has many sheep on his farm.,农场主在他的农场里养了许多绵羊。
shelf,书架.,/ʃelf/,Put the books back on the shelf after you finish reading.,看完后把书放回书架上。
shine,照耀,/ʃain/,The sun began to shine brightly in the morning.,早晨太阳开始明亮地照耀。
ship,（大）船；轮船,/ʃip/,The ship sailed across the ocean.,轮船横渡了大洋。
ship：,船,舰,The ship arrived at the port early this morning.,船今天清晨到达了港口。,
shirt,衬衫,/ʃɜːt/,He wore a white shirt and blue jeans.,他穿了一件白衬衫和蓝色牛仔裤。
shoe,鞋,/ʃuː/,I found a shoe under the bed.,我在床底下找到了一只鞋。
shoe store,鞋店,/ʃu:stɔ:/,We bought new sneakers at the shoe store.,我们在鞋店买了新运动鞋。
shoes,鞋子,/ʃuːz/,Please take off your shoes before entering the house.,进屋子前请脱鞋。
shop,商店,/ʃɔp/,The shop sells fruits and vegetables.,这家商店卖水果和蔬菜。
short,短的.；矮的,/ʃɔ:t/,She has short hair and brown eyes.,她留着短发，长着棕色的眼睛。
short hair,短头发,/ʃɔ:t/,He looks good with short hair.,他留短头发很好看。
shorter,更矮，更短的,,My brother is shorter than me.,我弟弟比我矮。
shorts,短裤,/ʃɔːts/,He wore shorts because the weather was hot.,他穿了短裤，因为天气很热。
short—shorter,更矮的,/ʃɔ:t/,This pencil is shorter than that one.,这支铅笔比那支更短。
should,应该；应当,/ʃʊd/,You should brush your teeth before bed.,你应该在睡觉前刷牙。
Show,t. 显示；演出；展出；说明vi. 显示；指示；说明n. 炫耀；显示；表演,/ʃəu/,Can you show me your new watch?,你能给我看看你的新手表吗？
shy,羞怯的；腼腆的；怕生的,/ʃaɪ/,The little girl is too shy to speak in class.,那个小女孩太害羞了，不敢在课堂上发言。
sick,不舒服的；有病的,/sik/,He stayed home because he was sick.,他因为生病待在家里。
side,边;面;侧;端,/said/,A cat was sleeping on the side of the road.,一只猫在路边睡觉。
Sing,（过去式sang[sæŋ ]）,/siŋ/,The birds sing in the morning.,鸟儿在早晨歌唱。
sing English songs,唱英文歌,/sɪŋ/,The children sing English songs in class.,孩子们在课堂上唱英文歌。
Singapore,新加坡,/ˌsɪŋgəˌpɔː/,Singapore is a small but rich country.,新加坡是一个小而富有的国家。
singer,歌唱家；歌手,/'siŋə/,She wants to be a singer when she grows up.,她长大后想成为一名歌手。
sir,（对男子的礼貌称呼）先生,/sɜː/,"Excuse me, sir, can you help me find the station?",打扰一下，先生，您能帮我找到车站吗？
sister,姐；妹,/'sɪstə/,My sister and I share a bedroom.,我妹妹和我共用一间卧室。
sit,坐,/sɪt/,Please sit down and open your books.,请坐下，打开你们的书。
six,六,/sɪks/,There are six apples on the table.,桌上有六个苹果。
sixteen,十六,/'sɪksti/,There are sixteen students in the classroom.,教室里有十六个学生。
sixth,\(6th\) 第六,,June is the sixth month of the year.,六月是一年中的第六个月。
sixty,六十,/'siksti(:)/,There are sixty seconds in one minute.,一分钟有六十秒。
size,号码；尺码,/saiz/,What size shoes do you wear?,你穿什么尺码的鞋？
skate,滑冰；滑冰鞋,/skeit/,She learned to skate last winter.,她去年冬天学会了滑冰。
skirt,女裙,/skɜːt/,She bought a new blue skirt for the party.,她为聚会买了一条新的蓝裙子。
sky,天空,/skai/,The sky is very blue today.,今天天空很蓝。
sled,雪橇,/sled/,The children played with a sled in the snow.,孩子们在雪地里玩雪橇。
sleep,睡觉,/sli:p/,I usually sleep for eight hours every night.,我通常每晚睡八个小时。
sleeping,（正在）睡觉,,The cat is sleeping on the sofa.,那只猫正在沙发上睡觉。
sleep—slept,睡觉,/sli:p/,Last night I slept very well.,昨晚我睡得非常好。
slept,睡觉,,The baby slept peacefully all night.,婴儿整晚都睡得很安稳。
slippers,拖鞋,/'slipə/,I put on my slippers when I get home.,我到家时穿上拖鞋。
slow,慢的,/sləʊ/,The turtle is very slow but it keeps moving.,乌龟很慢，但它一直在前进。
slow down,慢下来,/sləʊ daʊn/,You should slow down when driving in the rain.,下雨开车时你应该慢下来。
small,小的,/smɔːl/,This room is too small for all of us.,这个房间太小了，容不下我们所有人。
smaller,（体型）更小的,,My cat is smaller than yours.,我的猫比你的猫更小。
small—smaller,（体型）更小,/smɔːl/,A mouse is smaller than a rabbit.,老鼠比兔子更小。
smart,聪明的;巧妙的,/smɑ:t/,She is a smart student who always gets good grades.,她是一个聪明的学生，总是取得好成绩。
smart-smarter,更聪慧的,/smɑ:t/,Dolphins are smarter than most other animals.,海豚比大多数其他动物更聪明。
smarter,更聪明的,,My dog is smarter than I thought.,我的狗比我想象的更聪明。
snake,蛇,/sneik/,"A snake can be dangerous, so stay away from it.",蛇可能很危险，所以要远离它。
sneakers,胶底帆布鞋；网球鞋,/'sni:kəz/,I wear sneakers for gym class.,我穿运动鞋上体育课。
snow,雪,/snəu/,The snow covered everything in white.,雪把一切都覆盖成了白色。
snowman,雪人,,The children built a snowman in the yard.,孩子们在院子里堆了一个雪人。
snowy,下雪的,/snəʊi/,"It is a snowy day, so we stayed inside.",今天下雪，所以我们待在室内。
so,这么；那么,/səʊ/,The bag was so heavy that I could not carry it.,这个包这么重，我提不动。
so much,很;非常,/səumʌtʃ/,Thank you so much for your help.,非常感谢你的帮助。
Social Studies,社会课,/'səuʃəl 'stʌdiz/,"In Social Studies, we learn about history.",在社会课上我们学习历史。
sock,短袜,/sɒk/,I lost one sock in the laundry.,我在洗衣时弄丢了一只袜子。
socks,袜子,/sɔks/,He wears warm socks in winter.,他冬天穿保暖的袜子。
sofa,长沙发,/'səʊfə/,We sat on the sofa and watched TV together.,我们坐在沙发上一块儿看电视。
Soil,土壤,/sɔil/,Plants grow in soil.,植物在土壤中生长。
some,一些,/sʌm/,I need some water to drink.,我需要一些水喝。
something,某事物,/'sʌmθiŋ/,There is something in my bag.,我的包里有个东西。
sometimes,有时；间或,/'sʌmtaɪmz/,Sometimes I walk to school.,有时我走路去上学。
son,儿子,/sʌn/,Her son is learning to play the piano.,她的儿子正在学弹钢琴。
song,歌曲,/sɒŋ/,This is my favorite song.,这是我最喜欢的歌。
soon,立刻；不久,/su:n/,I will finish my homework soon.,我很快就完成作业了。
sore,疼的,/sɔ:/,My throat is sore today.,我今天嗓子疼。
sorry,对不起,/'sɔ:ri/,I am sorry for being late.,对不起，我迟到了。
sound,听起来,/saund/,That sounds like a great idea.,那听起来是个好主意。
soup,汤,/suːp/,I like to eat hot soup in winter.,冬天我喜欢喝热汤。
sour,酸的,/'sauə/,The lemon is very sour.,这个柠檬很酸。
south,南,/sauθ/,Birds fly south in the winter.,冬天鸟儿飞往南方。
space,太空,/speɪs/,Astronauts travel to space in a rocket.,宇航员乘坐火箭去太空。
Spain,西班牙,,Spain is famous for its beaches.,西班牙以其海滩闻名。
Spanish,西班牙的；西班牙语；西班牙人,,He is learning Spanish this year.,他今年在学西班牙语。
speak,会说；会讲,/spiːk/,Please speak more slowly.,请说慢一点。
speak English,说英语,/spiːk/,Can you speak English?,你会说英语吗？
speak to,和…讲话,/spi:k/,I need to speak to the teacher.,我需要和老师讲话。
special,特殊的；特别的,,Today is a special day for our family.,今天对我们家来说是特别的一天。
sperm whale,抹香鲸,/spɜ:mweil/,The sperm whale can dive very deep into the ocean.,抹香鲸可以潜入很深的海里。
spoon,勺子,/spu:n/,I eat my soup with a spoon.,我用勺子喝汤。
sport,体育运动,/spɔːt/,My favorite sport is basketball.,我最喜欢的运动是篮球。
sports,体育运动,/spɔ:ts/,I like all kinds of sports.,我喜欢各种体育运动。
sports meet,运动会,,Our school had a sports meet last Friday.,上周五我们学校举行了运动会。
spring,春天,/spriŋ/,Flowers bloom in spring.,春天花儿开了。
Sprout,苗;芽;嫩芽,/spraut/,The little sprout grew into a flower.,小嫩芽长成了一朵花。
squid,鱿鱼,/skwɪd/,I tried grilled squid at the restaurant.,我在餐厅尝了烤鱿鱼。
squirrel,松鼠,/'skwirəl/,The squirrel is eating a nut in the tree.,松鼠在树上吃坚果。
star,星星,,There are many stars in the sky tonight.,今晚天空中有很多星星。
start,开始,/stɑ:t/,The movie starts at seven o'clock.,电影七点钟开始。
stay,在;逗留,/stei/,We will stay at home this weekend.,这个周末我们会待在家里。
stayed,停留，待,,I stayed at my friend's house yesterday.,我昨天待在朋友家。
stay—stayed,停留,/stei/,"I usually stay at home, but yesterday I stayed at school.",我通常待在家里，但昨天我待在学校了。
still,仍然；依旧；还是,/stil/,He is still sleeping.,他还在睡觉。
stop,停；停车站,/stɔp/,Please stop talking and listen.,请停止讲话，注意听。
story -book,故事书,/'stɔ:ri/,I read a story -book before bed.,我睡前读了一本故事书。
storybook,故事书,/ˈstɔːrɪbʊk/,This storybook has many beautiful pictures.,这本故事书有很多漂亮的图画。
straight,1. 笔直的;挺直的2、成直线地,/streit/,Go straight and turn left at the corner.,一直走，在拐角处左转。
strawberry,草莓,/'strɔːbəri/,I like to eat fresh strawberries in summer.,夏天我喜欢吃新鲜的草莓。
stream,（小）河,/stri:m/,A small stream runs through the forest.,一条小溪流过森林。
street,大街；街道,/striːt/,There are many shops on this street.,这条街上有很多商店。
strict,要求严格的；严厉的,/strɪkt/,My teacher is very strict about homework deadlines.,我的老师对作业截止日期要求很严格。
strong,强壮的,/strɒŋ/,My dad is very strong.,我爸爸很强壮。
stronger,更强壮的,,He is stronger than his brother.,他比他哥哥更强壮。
strong—stronger,更强壮的,/strɒŋ/,I want to be stronger than last year.,我想比去年更强壮。
stuck,陷住；无法移动,/stʌk/,The key is stuck in the lock.,钥匙卡在锁里了。
student,学生,/'stjuːdənt/,She is a good student in our class.,她是我们班的好学生。
studies,（study 的第三人称单数形式）学习,/ˈstʌdiz/,He studies English every evening.,他每天晚上学习英语。
study,（过去式studied[ 'stʌdid ]）学习,/'stʌdi/,I study in my room after dinner.,晚饭后我在房间学习。
subway,地铁,/ˈsʌbweɪ/,I take the subway to work every morning.,我每天早上乘地铁上班。
subway：,地铁,/'sʌbwei/,The subway is fast and convenient.,地铁又快又方便。
summer,夏天,/'sʌmə/,I go swimming every summer.,我每年夏天都去游泳。
sun,太阳,/sʌn/,The sun rises in the east.,太阳从东方升起。
Sunday,星期日,/'sʌndi/,Sunday is a day of rest for many people.,星期天对很多人来说是休息日。
sunglasses,太阳镜,/'sʌŋglɑːsɪz/,She wears sunglasses on sunny days.,她在晴天戴太阳镜。
sunny,阳光充足的,/'sʌni/,It is sunny today.,今天天气晴朗。
super,太棒了太,/'sju:pə/,You did a super job!,你做得太棒了！
supermarket,超市,/ˈsjuːpəmɑːkɪt/,I buy food at the supermarket.,我在超市买食物。
sure,的确；一定,/ʃuə/,Are you sure about that?,你确定吗？
sushi,寿司,,I like to eat sushi with soy sauce.,我喜欢蘸酱油吃寿司。
sweater,毛衣 .,/'swetə/,She wore a warm red sweater in the winter.,她冬天穿了一件暖和的红色毛衣。
sweep the floor,扫地,/swi:p ði:,I help my mother sweep the floor.,我帮妈妈扫地。,
sweet,含糖的；甜的,/swiːt/,The cake is very sweet.,这个蛋糕很甜。
swim,（过去式swam[ swæm]）,/swim/,Can you swim in the pool?,你会在游泳池游泳吗？
swing,荡;荡秋千,/swiŋ/,The children love to swing in the park.,孩子们喜欢在公园里荡秋千。
Sydney,悉尼,/'sɪdni/,Sydney has a famous opera house.,悉尼有一座著名的歌剧院。
T-shirt,T恤衫,,He wears a blue T-shirt today.,他今天穿了一件蓝色T恤衫。
T-shirt T,恤衫,,I bought a new T-shirt at the store.,我在商店买了一件新T恤衫。
table,桌子,/'teɪbl/,Put the book on the table.,把书放在桌子上。
tail,尾巴,/teɪl/,The dog is wagging its tail.,狗在摇尾巴。
take,（过去式took[tʊk]）,/teik/,Please take a seat.,请坐下。
take a dancing class,上舞蹈课,,She takes a dancing class every Saturday.,她每周六上舞蹈课。
take a deep breath,深深吸一口气,,Take a deep breath and relax.,深深吸一口气，放松一下。
take a trip,去旅行,/teɪk ə trɪp/,We plan to take a trip to the beach.,我们计划去海边旅行。
take pictures,照相,/teik'piktʃəs/,I like to take pictures of flowers.,我喜欢给花照相。
take turns,按顺序来,,Let's take turns using the computer.,我们按顺序来用电脑吧。
take—took,拍照,/teik/,"I take photos every day, and yesterday I took ten photos.",我每天拍照，昨天我拍了十张。
talk,讲话,/tɔ:k/,We need to talk about the project.,我们需要谈谈这个项目。
talk quietly,小声讲话,,You should talk quietly in the hospital.,在医院里你应该小声讲话。
tall,高的,/tɔːl/,The building is very tall.,这栋楼很高。
taller,更高的,,Tom is taller than Jerry.,汤姆比杰瑞更高。
tall—taller,更高的,/tɔːl/,"She is tall, but her brother is taller.",她很高，但她哥哥更高。
taste,品尝,/teist/,This soup has a very rich taste.,这汤的味道非常浓郁。
tasty,好吃的;可口的,/'teisti/,The pizza is very tasty.,这个比萨很好吃。
taxi,出租汽车,/ˈtæksi/,We took a taxi to the airport.,我们打车去了机场。
tea,茶；茶水,/tiː/,Would you like a cup of tea?,你想喝杯茶吗？
teach,教,/ti:tʃ/,My father teaches me how to ride a bike.,我爸爸教我骑自行车。
teacher,教师,/'tiːtʃə/,My teacher is very kind.,我的老师很和蔼。
teacher's,desk 讲台,,desk The teacher's desk is at the front of the classroom.,讲台在教室的前面。
teacher's desk,讲台,/ˈtiːʧəz/,There is a book on the teacher's desk.,讲台上有一本书。
teacher's office,教师办公室,,The teacher's office is on the second floor.,教师办公室在二楼。
teacher,s desk,讲台,My teacher is very kind.,我的老师很和蔼。,
teacher,s-office,教师办公室,My teacher is very kind.,我的老师很和蔼。,
teachers,教师办公室,,The teachers are having a meeting.,教师们在开会。
teachers',office 教师办公室,,office The teachers' office is next to our classroom.,教师办公室在我们教室隔壁。
teaches,教,,She teaches English at our school.,她在我们学校教英语。
tell,告诉,说,Please tell me a story.,请给我讲个故事。,
ten,十,/ten/,There are ten apples on the table.,桌子上有十个苹果。
tenth,\(10th\) 第十,,He finished tenth in the race.,他赛跑得了第十名。
test,测试,/test/,We have a math test tomorrow.,我们明天有一个数学测试。
than,与…相比较,/ðæn/,She is taller than me.,她比我高。
thank,谢谢,/θæŋk/,I want to thank you for your help.,我想谢谢你的帮助。
thanks,多谢,/θæŋks/,Thanks for coming to my party.,多谢来参加我的聚会。
Thanksgiving,感恩节,/θæŋks'giviŋ/,We eat turkey on Thanksgiving.,感恩节我们吃火鸡。
that,那；那个,/ðæt/,That is my school.,那是我的学校。
the,Great Wall 长城,,Great Wall We visited the Great Wall last summer.,去年夏天我们参观了长城。
the Great Wall,长城,/ðəgreitwɔ:l/,The Great Wall is very long and old.,长城非常长且古老。
their,他们的，她们的，它们的,/ðeə/,The children put away their toys.,孩子们收好了他们的玩具。
theirs,他们的；她们的；它们的,,"This book is theirs, not mine.",这本书是他们的，不是我的。
them,他（她、它）们（宾格）,/ðem/,I gave them some candy.,我给了他们一些糖果。
theme park,主题公园,/θi:mpɑ:k/,We had fun at the theme park.,我们在主题公园玩得很开心。
then,然后,接着,"I finished my homework, then I watched TV.",我写完了作业，然后看电视。,
then：,然后,接着,"First we eat dinner, then we go for a walk.",先吃晚饭，然后我们去散步。,
there,\(表示存在或发生\),/ðeə/,There is a cat under the bed.,床底下有一只猫。
these,这些.,/ði:z/,These books are mine.,这些书是我的。
they,他们,/ðei/,They are playing soccer in the park.,他们正在公园里踢足球。
thin,瘦的,/θɪn/,The pencil is very thin.,这支铅笔很细。
thing,东西；物,/θiŋ/,What is that thing on the table?,桌子上那个东西是什么？
think,想；思考,/θiŋk/,I think it will rain today.,我想今天会下雨。
think—thought,想,/θiŋk/,"I think about you every day, and yesterday I thought about you too.",我每天想你，昨天我也在想你。
thinner,更瘦的,/'θɪnə/,He looks thinner than before.,他看起来比以前更瘦了。
thin—thinner,更瘦的,/θɪn/,"She is thin, but her sister is thinner.",她很瘦，但她妹妹更瘦。
third,a. 第三的,/θə:d/,I sit in the third row.,我坐在第三排。
third (3rd),第三的,,He came in third in the race.,他赛跑得了第三名。
thirsty,渴的；口渴的,/ˈθɜːsti/,I'm thirsty after running for an hour.,跑了一小时后我感到口渴。
thirteen,十三,/'θɜːtiːn/,There are thirteen students in the class.,班里有十三个学生。
thirtieth,\(30th\) 第三十,,Today is the thirtieth day of the month.,今天是这个月的第三十天。
thirtieth (30th),第三十的,,Her birthday is on the thirtieth of June.,她的生日是六月三十日。
thirty,三十,/'θɜːti/,There are thirty days in April.,四月有三十天。
thirty-one,三十一,/ˌθɜːrti ˈwʌn/,There are thirty-one days in May.,五月有三十一天。
this,这；这个,/ðis/,This is my desk.,这是我的书桌。
This afternoon,今天下午,/ðis'ɑ:ftə'nu:n/,I will go to the library this afternoon.,今天下午我要去图书馆。
This evening,今天晚上,/ðis'i:vniŋ/,We are having dinner with friends this evening.,今天晚上我们要和朋友一起吃晚饭。
this morning,今天上午,/ðis'mɔ:niŋ/,I ate an egg this morning.,今天上午我吃了一个鸡蛋。
this way,这边,/wei/,Please come this way.,请往这边走。
those,那些.,/ðəuz/,Those flowers are beautiful.,那些花很漂亮。
thought,(think的过去式) 想,,I thought the movie was very interesting.,我觉得那部电影很有趣。
three,三,/θriː/,I have three pencils in my bag.,我书包里有三支铅笔。
Thursday,星期四,/'θɜːzdi/,The meeting is scheduled for Thursday morning.,会议安排在星期四上午。
tiger,老虎,/'taɪgə/,The tiger lives in the forest.,老虎生活在森林里。
till,直到,,I will wait for you till you come back.,我会一直等到你回来。
tip,有用的小建议；实用的小提示,/tip/,He left a generous tip for the waiter.,他给服务员留了慷慨的小费。
tired,疲倦的,/'taɪəd/,I'm tired after playing all day.,玩了一整天我很疲倦。
to,给；对,/tu:/,Please give this book to your sister.,请把这本书给你妹妹。
today,今天,/tə'deɪ/,Today is Monday.,今天是星期一。
tofu,豆腐,/'təufu:/,Tofu is healthy and delicious.,豆腐健康又美味。
together,一起的,/tə'geðə/,Let's sing together.,我们一起唱吧。
tomato,西红柿,/tə'meɪtəʊ/,I put tomato in my salad.,我在沙拉里放了西红柿。
tomorrow,明天,/təˈmɒrəʊ/,We have a test tomorrow.,我们明天有一场考试。
tomoto,西红柿,/tə'ma:təu/,I like to eat tomato soup.,我喜欢喝西红柿汤。
ton,吨,/tʌn/,This bag weighs one ton.,这个袋子重一吨。
tongue twister,绕口令,/tʌŋ 'twistə/,She can say this tongue twister very fast.,她能很快地说出这个绕口令。
tonight,在晚上,/təˈnaɪt/,I will do my homework tonight.,我今晚会做作业。
too,太；过于,/tuː/,The coffee is too hot to drink.,咖啡太烫了，不能喝。
too many,太多了,,There are too many people on the bus.,公交车上人太多了。
took,(take的过去式) 拍照,,He took a book from the shelf.,他从书架上拿了一本书。
took pictures,照相,,We took pictures at the park.,我们在公园拍了照。
tourist,旅行者；旅游者,/'tuərist/,Many tourists visit the Great Wall every year.,每年有许多游客参观长城。
toy,玩具,/tɔɪ/,The child is playing with a toy.,那个孩子在玩玩具。
traffic,交通,/ˈtræfɪk/,The traffic is always heavy during rush hour.,高峰时段交通总是很拥堵。
traffic light,交通灯,/lait/,Wait for the green traffic light.,等绿灯。
traffic lights,交通灯,/'træfiklaits/,The traffic lights are not working.,交通灯坏了。
traffic rule,交通规则,/ru:l/,You must follow the traffic rules.,你必须遵守交通规则。
traffic：,交通,/'træfik/,Traffic is heavy during rush hour.,高峰时段交通很拥挤。
train,火车,/treɪn/,I go to school by train.,我乘火车去上学。
train：,火车,/trein/,The train arrives at nine o'clock.,火车九点到。
trash bin,垃圾箱,/træʃ bin/,Please throw the paper into the trash bin.,请把纸扔进垃圾桶。
travel,（尤指长途）旅行,/ˈtrævl/,I want to travel around the world.,我想环游世界。
tree,树；树木；乔木,/triː/,There is a tall tree in the garden.,花园里有一棵高树。
tried,疲劳的；累的,/traid/,She tried her best to win the race.,她尽了最大努力去赢得比赛。
trip,旅行,/trɪp/,We had a nice trip to the beach.,我们去海滩旅行很愉快。
truck,象鼻,/trʌk/,The truck is carrying fruits.,卡车正在运送水果。
try,尝试；试一下,/trai/,Please try your best.,请尽力而为。
try on,试穿,/ˈtraɪɒn/,You can try on the dress.,你可以试穿这条裙子。
Tuesday,星期二,/'tjuːzdi/,She has a piano lesson every Tuesday.,她每周二都有钢琴课。
turn,转弯,/tɜːn/,Please turn left at the corner.,请在拐角处左转。
turn：,转弯,/tə:n/,It is your turn to play.,轮到你玩了。
Turpan,吐鲁番,,Turpan is famous for its grapes and hot weather.,吐鲁番以葡萄和炎热的天气闻名。
TV,电视,/‚tiː'viː/,My grandfather watches TV every evening.,我爷爷每天晚上看电视。
TV reporter,电视台记者,/ri'pɔ:tə/,The TV reporter interviewed the mayor after the press conference.,那位电视台记者在新闻发布会后采访了市长。
TV room,电视机房,,The kids are watching cartoons in the TV room.,孩子们正在电视机房里看动画片。
twelfth,第十二;十二分之一,/twelfθ/,December is the twelfth month of the year.,十二月是一年中的第十二个月。
twelfth (12th),第十二的,,He finished twelfth in the race.,他在比赛中获得第十二名。
twelve,十二,/twelv/,There are twelve months in a year.,一年有十二个月。
twentieth,第二十,/'twentiiθ/,Today is the twentieth of June.,今天是六月二十日。
twentieth (20th),第二十的,,He celebrated his twentieth birthday.,他庆祝了他的二十岁生日。
twenty,二十一,/'twenti/,Twenty students are in the classroom.,教室里有二十名学生。
twenty-first,\(21st\) 第二十一,,Today is my twenty-first birthday.,今天是我二十一岁生日。
twenty-first (21st),第二十一的,,She came in twenty-first in the competition.,她在比赛中获得第二十一名。
twenty-second,\(22nd\) 第二十二,,He finished twenty-second in the race.,他在比赛中获得第二十二名。
twenty-third,\(23rd\) 第二十三,,She was twenty-third in line.,她在队伍中排第二十三位。
twenty-third (23rd),第二十三的,,He finished twenty-third in the marathon.,他在马拉松中获得第二十三名。
twin,双胞胎之一,/twin/,The twin sisters look exactly alike.,这对双胞胎姐妹长得一模一样。
two,二,/tuː/,I have two apples.,我有两个苹果。
type,打字,/taɪp/,What type of music do you like?,你喜欢什么类型的音乐？
UK,英国,/juːˈkeɪ/,He moved to the UK to study at Oxford University.,他搬到英国去牛津大学学习。
umbrella,雨伞,/ʌm'brelə/,Don't forget to take an umbrella; it might rain.,别忘了带伞，可能会下雨。
uncle,叔叔，舅舅，婕夫,/ˈʌŋkl/,My uncle lives in Shanghai.,我叔叔住在上海。
under,在…… 下面,/'ʌndə/,The cat is under the table.,猫在桌子下面。
university,大学,/ˌjuːnɪˈvɜːsɪti/,She wants to go to university.,她想上大学。
university student,大学生,/'ju:ni'və:siti 'stju:dənt/,He is a university student.,他是一名大学生。
up,向上,/ʌp/,Please look up at the sky.,请抬头看天空。
us,我们（宾格）,/us/,The teacher told us a story.,老师给我们讲了一个故事。
USA,美国,/juːesˈeɪ/,She traveled to the USA for a business conference.,她去美国参加一个商务会议。
use,使用,/juːs/,May I use your pen?,我可以用一下你的钢笔吗？
use a computer,使用电脑,/ju:z kəm'pju:tə/,I use a computer to study.,我用电脑学习。
usually,通常、一般,/'ju:ʒʊəli/,I usually get up at seven.,我通常七点起床。
vacation,假期,,We went to Japan on vacation.,我们去日本度假了。
vapour,蒸气；水汽,/'veipə/,Vapour rises from the hot water.,水蒸气从热水里升起。
vegetable,蔬菜,/'vedʒɪtəbl/,You should eat more vegetables.,你应该多吃蔬菜。
very,很;非常,/'veri/,The movie is very interesting.,这部电影非常有趣。
very much,非常、很多,/'veri mʌtʃ/,I like ice cream very much.,我非常喜欢冰淇淋。
vest,背心,/vest/,He wears a vest in winter.,他冬天穿一件背心。
village,村庄；村镇,/'vɪlɪdʒ/,The village is small and quiet.,这个村庄又小又安静。
violin,小提琴,/,vaiə'lin/,,
visit,（过去式visited）看望,/'vizit/,I want to visit my grandmother.,我想去看望我的祖母。
visit grandparents,看望（外）祖父母,/'vizit'græєərənts/,We visit our grandparents every weekend.,我们每个周末都去看望祖父母。
visitor,客人；参观者,/'vizitə/,We have a visitor today.,今天我们有客人来。
wait,等待;等等,/weit/,Please wait for me.,请等我一下。
waiter,侍者,服务员,The waiter brought our food.,服务员端来了我们的食物。,
wake up,醒；醒来,/weikʌp/,I wake up at six every morning.,我每天早上六点醒来。
wake—woke,醒,/weɪk/,I usually wake up at seven.,我通常七点醒来。
walk,走,/wɔ:k/,I walk to school every day.,我每天走路去上学。
walkman,随身听,/'wɔ:kmən/,My father used to have a walkman.,我爸爸以前有一个随身听。
wall,墙壁,/wɔːl/,There is a picture on the wall.,墙上有一幅画。
want,要；想要,/wɒnt/,I want a glass of water.,我想要一杯水。
warm,温暖的,/wɔːm/,The weather is warm today.,今天天气很暖和。
wash,（过去式washed）洗,/wɒʃ/,Please wash your hands before dinner.,请在晚饭前洗手。
wash my clothes,洗我的衣服,/wɒʃ/,I wash my clothes on Sunday.,我星期天洗衣服。
wash the clothes,洗衣服. .洗衣服,/wɔʃ kləuðz/,She washes the clothes every morning.,她每天早上洗衣服。
wash the windows,擦窗户,/wɔʃ 'windəʊz/,He helps wash the windows.,他帮忙擦窗户。
washed,洗,,I washed my hands before lunch.,午饭前我洗了手。
washroom,卫生间,/'wɔʃrum/,Where is the washroom?,卫生间在哪里？
wash—washed,洗,/wɒʃ/,I wash my face every morning.,我每天早上洗脸。
watch,（过去式watched）看,/wɒtʃ/,I watch TV after school.,我放学后看电视。
watch insects,观察昆虫,/wɔ:tʃ'insekts/,The boy likes to watch insects.,那个男孩喜欢观察昆虫。
watch TV,看电视,/wɔtʃ'ti:'vi:/,I like to watch TV after finishing my homework.,我喜欢做完作业后看电视。
watched,看,,I watched a movie yesterday.,我昨天看了一部电影。
watches,看,,She watches TV every evening.,她每天晚上看电视。
watch—watched,看,/wɒtʃ/,I watch cartoons on Saturday.,我星期六看动画片。
water,水,/'wɔːtə/,I need a glass of water.,我需要一杯水。
water bottle,水瓶,/ˈwɔːtə/,Please fill your water bottle.,请装满你的水瓶。
water the flowers,浇花,/'wɔ:təi: 'flauəs/,I water the flowers every morning.,我每天早上浇花。
watermelon,西瓜,/'wɔːtəmelən/,Watermelon is sweet and juicy.,西瓜又甜又多汁。
way,路；道,/wei/,Can you tell me the way to the station?,你能告诉我去车站的路吗？
we,我们,/wi:/,We are good friends.,我们是好朋友。
we'll,我们将……,/wiːl/,We'll go to the park tomorrow.,我们明天去公园。
